rank_test_score,mean_test_score,std_test_score,param_learning_rate,param_max_depth,param_num_leaves,param_reg_alpha,param_reg_lambda
102,0.5871714345163458,0.0380643201556117,0.2,7,15,0.0,0.0
103,0.5871640288730358,0.06473675163849044,0.05,3,31,0.0,0.0
103,0.5871640288730358,0.06473675163849044,0.05,3,15,0.0,0.0
105,0.5870561122684135,0.040598802850873736,0.05,7,15,0.1,0.0
106,0.5865951498020632,0.07197412818663876,0.05,3,31,0.0,0.1
106,0.5865951498020632,0.07197412818663876,0.05,3,15,0.0,0.1
108,0.5865587306440091,0.06541109443706096,0.05,7,7,0.1,1.0
109,0.586539601171493,0.035453388596170816,0.1,5,31,0.1,0.1
110,0.5862224453745726,0.05609978249866621,0.1,7,7,0.0,0.1
111,0.5859484235268579,0.0754280695896124,0.2,3,7,1.0,0.1
112,0.585821107006265,0.05129933580885395,0.1,7,31,0.1,1.0
113,0.585723558454417,0.052646367573802186,0.1,7,15,0.0,1.0
114,0.5855812503712985,0.05929575969886147,0.1,3,31,0.0,0.0
114,0.5855812503712985,0.05929575969886147,0.1,3,15,0.0,0.0
116,0.5853274051120884,0.04827371353145997,0.2,5,31,0.1,0.0
117,0.584893044030285,0.06683892125900412,0.1,3,31,0.0,1.0
117,0.584893044030285,0.06683892125900412,0.1,3,15,0.0,1.0
119,0.5848704363886228,0.06812138566077275,0.1,3,7,0.0,0.0
120,0.584708363784394,0.05385066027397026,0.1,5,31,0.1,1.0
121,0.5847014598354429,0.06403618354612824,0.2,5,31,1.0,0.1
122,0.5846179609726143,0.06375050182219133,0.05,3,7,1.0,0.0
123,0.5844205044875571,0.07440296078089509,0.1,3,7,0.1,0.0
124,0.584357282239422,0.04060557885487961,0.2,5,15,0.1,0.0
125,0.5840352007994621,0.06836902315843031,0.2,7,7,0.1,1.0
126,0.5839787166318935,0.0632589721943059,0.1,3,31,0.0,0.1
126,0.5839787166318935,0.0632589721943059,0.1,3,15,0.0,0.1
128,0.5838408174304328,0.051034075492105056,0.05,5,31,0.0,0.0
129,0.5837370017247887,0.04008251634990594,0.1,7,15,0.0,0.1
130,0.5835820789932445,0.05691369105583355,0.05,7,15,0.1,1.0
131,0.5833851345225962,0.05676406890214572,0.2,5,7,1.0,1.0
132,0.5833694070617843,0.05501170885670184,0.05,5,7,0.1,0.0
133,0.5831560111780124,0.06893838522423923,0.05,7,15,0.0,1.0
134,0.5829454386948834,0.0788153414396407,0.2,7,31,1.0,0.0
135,0.5828059396915776,0.06423147019158795,0.1,3,31,0.1,0.0
135,0.5828059396915776,0.06423147019158795,0.1,3,15,0.1,0.0
137,0.5826018391264421,0.06417721813558185,0.2,5,31,0.0,0.1
138,0.581951213802289,0.06264836578852792,0.05,5,7,1.0,0.0
139,0.5817650965101457,0.05773669249264366,0.05,5,15,1.0,1.0
140,0.581638724094211,0.087464413575934,0.2,3,15,1.0,0.1
140,0.581638724094211,0.087464413575934,0.2,3,31,1.0,0.1
142,0.5816100997496493,0.059636749957151104,0.1,5,31,1.0,0.1
143,0.5816050038740096,0.07399136449589777,0.1,7,7,1.0,0.0
144,0.5815194859683415,0.04926461026710196,0.05,7,15,1.0,0.0
145,0.5812537071105027,0.042059034152014715,0.1,5,31,0.1,0.0
146,0.5810753931212231,0.06058621001465184,0.05,5,7,0.0,0.1
147,0.5808676187941955,0.05721161147893333,0.05,5,31,0.0,1.0
148,0.5802717562459683,0.08148731057732521,0.1,5,7,0.1,0.1
149,0.5801961919665904,0.042046690359984484,0.2,7,15,0.0,0.1
150,0.5801861517037137,0.05381358633792707,0.1,5,31,0.0,1.0
151,0.580105009760399,0.054379076376150456,0.2,5,15,0.1,1.0
