number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
23,0.5977028234669358,2026-06-02 02:15:41.173925,2026-06-02 02:15:41.478867,0 days 00:00:00.304942,0.8798664448907538,0.18790768536683047,6,55,3.5328705208819495,3.9000780722454143,0.8149314023156636,COMPLETE
24,0.573719877432734,2026-06-02 02:15:41.478922,2026-06-02 02:15:41.890384,0 days 00:00:00.411462,0.886642567445917,0.06782329154015145,7,60,3.463940841281332,3.6755698176660023,0.8246223700936327,COMPLETE
25,0.5969714721426526,2026-06-02 02:15:41.890449,2026-06-02 02:15:42.273921,0 days 00:00:00.383472,0.8710663782702323,0.12985974650218504,6,51,3.0111557118294754,4.5418010702976055,0.7023602910103706,COMPLETE
26,0.5709972639883764,2026-06-02 02:15:42.273987,2026-06-02 02:15:42.731733,0 days 00:00:00.457746,0.8263704306609909,0.037725123166096115,5,26,4.652728840012315,4.481962924067,0.7524364814398049,COMPLETE
27,0.5778458854178817,2026-06-02 02:15:42.731796,2026-06-02 02:15:43.016609,0 days 00:00:00.284813,0.9579788251621597,0.09683354930715915,4,78,3.8692320401161826,3.0882351709816174,0.8252071758351602,COMPLETE
28,0.5874965326115081,2026-06-02 02:15:43.016672,2026-06-02 02:15:43.357704,0 days 00:00:00.341032,0.9065823119616947,0.1923992230499112,7,63,2.5954765656997525,3.829820809943042,0.8641666799169195,COMPLETE
29,0.580188158627574,2026-06-02 02:15:43.357760,2026-06-02 02:15:43.861133,0 days 00:00:00.503373,0.8835515427795655,0.07978268401023268,6,43,1.669698630592646,3.078567501131624,0.929537365454288,COMPLETE
30,0.5907814971688614,2026-06-02 02:15:43.861198,2026-06-02 02:15:44.218366,0 days 00:00:00.357168,0.950360687102179,0.15412684089927176,6,82,3.5047386491441666,4.538454833481574,0.8772054686854338,COMPLETE
31,0.5853456674310966,2026-06-02 02:15:44.218487,2026-06-02 02:15:44.631230,0 days 00:00:00.412743,0.8709145845659899,0.11990586260642387,6,51,3.311819397030964,3.8776910364916524,0.7034425215837091,COMPLETE
32,0.5891759004049992,2026-06-02 02:15:44.631305,2026-06-02 02:15:44.990994,0 days 00:00:00.359689,0.8956281568333222,0.1412607547808481,6,51,2.9860381733001695,4.616289391261406,0.803360678716522,COMPLETE
33,0.5805225532304313,2026-06-02 02:15:44.991055,2026-06-02 02:15:45.368358,0 days 00:00:00.377303,0.8365211103018478,0.1127489880217728,7,39,3.994812397292619,4.536867078314892,0.7406333882429794,COMPLETE
