number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
27,0.5625663706705023,2026-06-05 21:56:48.538723,2026-06-05 21:56:48.784030,0 days 00:00:00.245307,0.9437638191842308,0.03072400426667998,8,7,2.554606802246818,3.279290029659337,0.7211937874450446,COMPLETE
28,0.5766023445734373,2026-06-05 21:56:48.784165,2026-06-05 21:56:49.280020,0 days 00:00:00.495855,0.976383448288032,0.10295950735992204,7,39,4.107026944128135,4.577176498371633,0.8850625896553723,COMPLETE
29,0.5766375451632015,2026-06-05 21:56:49.280133,2026-06-05 21:56:49.581332,0 days 00:00:00.301199,0.8271029493211594,0.15256287238957084,9,55,3.063462125966495,3.46226420606843,0.7703184294367328,COMPLETE
30,0.5832319855916789,2026-06-05 21:56:49.581439,2026-06-05 21:56:49.791955,0 days 00:00:00.210516,0.9976007101406041,0.07292031515034338,4,27,4.638544816406444,3.9580494426931314,0.8097074097206254,COMPLETE
31,0.6049091602464279,2026-06-05 21:56:49.792028,2026-06-05 21:56:50.001849,0 days 00:00:00.209821,0.9988410965771475,0.09614529480076821,9,7,3.6678891928848283,4.582973993268869,0.7087489054009725,COMPLETE
32,0.5726204743527027,2026-06-05 21:56:50.002080,2026-06-05 21:56:50.246968,0 days 00:00:00.244888,0.9680498872588881,0.18535433420140685,9,16,3.6691254726079094,4.682091084447854,0.7447643121062459,COMPLETE
33,0.5821622344875109,2026-06-05 21:56:50.247020,2026-06-05 21:56:50.681130,0 days 00:00:00.434110,0.9788886452423667,0.12628159808573353,8,18,3.2223402334921767,4.523938046141766,0.7154872864477458,COMPLETE
34,0.5980876639130192,2026-06-05 21:56:50.681232,2026-06-05 21:56:51.250249,0 days 00:00:00.569017,0.7763950343757202,0.19827887917255335,9,8,2.644704415543657,2.884476904864719,0.7367517194310844,COMPLETE
35,0.5835307085450766,2026-06-05 21:56:51.250340,2026-06-05 21:56:52.701160,0 days 00:00:01.450820,0.7964441168560497,0.19889060525995436,8,20,2.600190499845605,2.88522783872688,0.73953700593074,COMPLETE
36,0.5856270271121571,2026-06-05 21:56:52.701241,2026-06-05 21:56:52.942542,0 days 00:00:00.241301,0.7854494894514624,0.14972274969054788,3,31,1.5383589913725335,1.6521821625468598,0.7921523232807941,COMPLETE
37,0.580266685658045,2026-06-05 21:56:52.942657,2026-06-05 21:56:53.442801,0 days 00:00:00.500144,0.7660608796328231,0.06888477994421681,9,44,0.8912088069195532,1.153077988160933,0.76307254621595,COMPLETE
38,0.5880968768335768,2026-06-05 21:56:53.442964,2026-06-05 21:56:53.765425,0 days 00:00:00.322461,0.8462138551099562,0.16903854122286646,9,13,2.2299919244981354,3.6606540267565784,0.7193098280106635,COMPLETE
39,0.5911649729568206,2026-06-05 21:56:53.765476,2026-06-05 21:56:54.128044,0 days 00:00:00.362568,0.7003161658822739,0.1312415911831305,8,107,2.805063963942961,2.3627194254186668,0.7396778859824642,COMPLETE
40,0.5720486118997893,2026-06-05 21:56:54.128105,2026-06-05 21:56:54.578419,0 days 00:00:00.450314,0.868383978576069,0.05289396935982593,6,116,2.7946281238902144,2.8632549071588898,0.7908217966195924,COMPLETE
41,0.5887610823636471,2026-06-05 21:56:54.578471,2026-06-05 21:56:55.018519,0 days 00:00:00.440048,0.708998079037853,0.13302745276602454,8,91,2.707656396755093,2.179393225070824,0.7369601287627664,COMPLETE
42,0.5717090297744933,2026-06-05 21:56:55.018572,2026-06-05 21:56:55.368400,0 days 00:00:00.349828,0.7354298828637592,0.11981198263348024,8,62,2.422966241985887,1.6272092036254862,0.7486193474895844,COMPLETE
43,0.5804001903162739,2026-06-05 21:56:55.368509,2026-06-05 21:56:55.679140,0 days 00:00:00.310631,0.8321469568929286,0.1993870569787485,9,117,1.897673940177778,2.0308903829773866,0.7221059033641899,COMPLETE
44,0.5817528496715654,2026-06-05 21:56:55.679250,2026-06-05 21:56:55.974032,0 days 00:00:00.294782,0.7247113711264557,0.15673716099624407,7,73,2.99102272839645,2.438099460605794,0.711539014643803,COMPLETE
45,0.5793861526266808,2026-06-05 21:56:55.974123,2026-06-05 21:56:56.367161,0 days 00:00:00.393038,0.7681195217130486,0.10833156346493197,8,80,3.4943648953920547,3.8815616443114176,0.8268984198655108,COMPLETE
46,0.5751708178761039,2026-06-05 21:56:56.367252,2026-06-05 21:56:57.256340,0 days 00:00:00.889088,0.7003290302505762,0.07969187985424613,5,100,4.085259725457509,0.060563714933120405,0.7725651158675403,COMPLETE
47,0.5539956017305983,2026-06-05 21:56:57.256433,2026-06-05 21:56:58.136745,0 days 00:00:00.880312,0.8053840796934063,0.034589969180143135,9,127,3.0185904616005956,4.8192951589938735,0.7334974798650683,COMPLETE
48,0.545399221182455,2026-06-05 21:56:58.136806,2026-06-05 21:56:58.473972,0 days 00:00:00.337166,0.8094483218863409,0.020772991600225537,7,12,2.2302566330267353,0.4023134903603487,0.7540063964852496,COMPLETE
49,0.5883345896153324,2026-06-05 21:56:58.474203,2026-06-05 21:56:58.892205,0 days 00:00:00.418002,0.7502724524436819,0.14204653576715526,9,22,3.2498405398671295,2.6270740523378873,0.9410998787029815,COMPLETE
