rank_test_score,mean_test_score,std_test_score,param_learning_rate,param_max_depth,param_num_leaves,param_reg_alpha,param_reg_lambda
46,0.5827592117555078,0.03620140480594776,0.05,3,7,1.0,0.1
47,0.5826771210429811,0.05420163124327068,0.05,3,7,0.0,0.0
48,0.5826247152937819,0.06686112888399755,0.05,7,7,0.1,0.1
49,0.5826213918437366,0.04273329745407671,0.1,3,7,1.0,1.0
50,0.582390597579076,0.049234865145161524,0.05,3,7,0.1,0.0
51,0.5823542135402787,0.07078229258643036,0.05,5,7,0.1,1.0
52,0.5820991277921665,0.06478099049826894,0.05,5,7,0.1,0.1
53,0.5820285138297486,0.040398672885132825,0.2,7,7,1.0,1.0
54,0.5818288346186784,0.0596482824901702,0.05,7,7,1.0,0.0
55,0.5815367197015859,0.04483445601806239,0.1,7,31,1.0,0.1
56,0.5811779738892258,0.04362241146472452,0.1,3,15,1.0,1.0
56,0.5811779738892258,0.04362241146472452,0.1,3,31,1.0,1.0
58,0.581125378149196,0.06449478343290636,0.05,7,7,0.1,1.0
59,0.580972184191882,0.04265937545126936,0.05,3,31,1.0,1.0
59,0.580972184191882,0.04265937545126936,0.05,3,15,1.0,1.0
61,0.5809519882969341,0.06415928749824669,0.05,5,7,0.0,0.1
62,0.5807959240771253,0.04924889263261749,0.05,7,15,0.1,1.0
63,0.5805549074159027,0.04900668197816604,0.1,7,15,0.1,1.0
64,0.5804349518146743,0.04796289041896899,0.05,3,31,0.1,1.0
64,0.5804349518146743,0.04796289041896899,0.05,3,15,0.1,1.0
66,0.5802194572885003,0.04847550541837591,0.05,7,15,1.0,1.0
67,0.5798572987868127,0.0565276843217064,0.05,7,15,0.0,1.0
68,0.5797370632333495,0.036534801079043694,0.1,3,15,1.0,0.0
68,0.5797370632333495,0.036534801079043694,0.1,3,31,1.0,0.0
70,0.5796078609222965,0.037814791675474344,0.05,3,31,0.1,0.0
70,0.5796078609222965,0.037814791675474344,0.05,3,15,0.1,0.0
72,0.5795899703709371,0.06073015754475689,0.05,5,7,0.0,0.0
73,0.5786608871876673,0.05675412260460626,0.05,7,7,0.0,0.0
74,0.5785217151728848,0.06008807340289288,0.05,7,15,1.0,0.1
75,0.5783193572817769,0.027823600243932316,0.2,3,7,0.1,0.1
